npsn,nama_sekolah,akreditasi,alamat,kelurahan,kecamatan
69949362,BKB PAUD AL GHIFARI,C,Jl. Seha No. 37,Grogol Selatan,Kebayoran Lama
69822374,BKB PAUD AL-KARIMIYAH,Tidak Terakreditasi,Jl. Gg masjid Muyasarin,Cipulir,Kebayoran Lama
69889468,BKB PAUD AMEROH,Tidak Terakreditasi,Jl. Pondok Pinang 2 No. 33,Pondok Pinang,Kebayoran Lama
69831203,BKB PAUD ANANDA,Tidak Terakreditasi,Jl. Kemandoran 8A,Grogol Utara,Kebayoran Lama
,BKB PAUD ANGGREK,Tidak Terakreditasi,Jl. Jatayu,Kebayoran Lama Utara,Kebayoran Lama
69878039,BKB PAUD ANGGREK 08,Tidak Terakreditasi,Jl. Cipulir VI,Cipulir,Kebayoran Lama
69822378,BKB PAUD ANYELIR II,Tidak Terakreditasi,Komplek Bina Marga,Tanjung Duren Selatan,Grogol Petamburan
69878038,BKB PAUD ANYELIR ORANGE,Tidak Terakreditasi,Jl. Swadaya,Cipulir,Kebayoran Lama
69932359,BKB PAUD AZ ZAHRA,Tidak Terakreditasi,Jl. Pondok Pinang VII No.1,Pondok Pinang,Kebayoran Lama
69831290,BKB PAUD Azzahra,,Jl. Halimun Gg. Eddy I Ujung,Guntur,Setia Budi
69947448,BKB PAUD BAMBINI CERIA,Tidak Terakreditasi,Jl. Air Maya,Kebayoran Lama Utara,Kebayoran Lama
69822382,BKB PAUD BANI MARWAH,Tidak Terakreditasi,Jl. Masjid An-Nur II,Kebayoran Lama Selatan,Kebayoran Lama
69831192,BKB PAUD BAYAM,Tidak Terakreditasi,Jl. H. Saikin,Pondok Pinang,Kebayoran Lama
69878046,BKB PAUD BLUE SAFIR,Tidak Terakreditasi,Jl. KP Pluis,Grogol Utara,Kebayoran Lama
69776427,BKB PAUD BOUGENVILLE,,Jl. Rawa Simprug I,Grogol Selatan,Kebayoran Lama
69831194,BKB PAUD BUNCIS,,Jl. Pondok Pinang VI,Pondok Pinang,Kebayoran Lama
69831195,BKB PAUD BUNGUR,Tidak Terakreditasi,Jl. Dharma Putra IX,Kebayoran Lama Selatan,Kebayoran Lama
69776520,BKB PAUD CEMPAKA,Tidak Terakreditasi,Jl. Cendrawasih I,Kebayoran Lama Selatan,Kebayoran Lama
69776428,BKB PAUD CEMPAKA 06,Tidak Terakreditasi,Jl. Cidodol Raya,Grogol Selatan,Kebayoran Lama
69776523,BKB PAUD CIKAL INSANI,Tidak Terakreditasi,Jl. Pulo Kenanga IV,Grogol Utara,Kebayoran Lama
69831202,BKB PAUD DAHLIA,Tidak Terakreditasi,Jl. Almubarok I,Cipulir,Kebayoran Lama
69831283,BKB PAUD EDELWEISS,Tidak Terakreditasi,Jl. Menteng atas selatan II No.13,Menteng Atas,Setia Budi
,BKB PAUD KANA,Tidak Terakreditasi,Jl. Delman Sari VI/8,Kebayoran Lama Utara,Kebayoran Lama
69778195,BKB PAUD KATUK,Tidak Terakreditasi,Jl. Nurisan No.15,Pondok Pinang,Kebayoran Lama
69777747,BKB PAUD KEMUNING 012,Tidak Terakreditasi,Jl. Mas prada,Grogol Utara,Kebayoran Lama
69831191,BKB PAUD KEMUNING 06,Tidak Terakreditasi,Jl.gedung Hijau Raya,Pondok Pinang,Kebayoran Lama
69870249,BKB PAUD KEMUNING I,Tidak Terakreditasi,Jl. Tanah Kusir II,Kebayoran Lama Selatan,Kebayoran Lama
69870251,BKB PAUD KENANGA,A,Jl. Kebon Mangga II,Cipulir,Kebayoran Lama
69832326,BKB PAUD LESTARI,Tidak Terakreditasi,Jl. Jaya VIII,Cengkareng Barat,Cengkareng
69776445,BKB PAUD MATAHARI,Tidak Terakreditasi,Jl. Kp Duku VI,Kebayoran Lama Selatan,Kebayoran Lama
