tahun;provinsi;indeks
2010;Aceh;67.09
2010;Sumatera Utara;67.09
2010;Sumatera Barat;67.25
2010;Riau;68.65
2010;Kepulauan Riau;65.39
2010;Jambi;64.44
2010;Sumatera Selatan;65.35
2010;Kepulauan Bangka Belitung;63.71
2010;Bengkulu;66.02
2010;Lampung;71.13
2010;DKI Jakarta;76.31
2010;Jawa Barat;66.15
2010;Banten;66.08
2010;Jawa Tengah;75.37
2010;DI Yogyakarta;65.36
2010;Jawa Timur;67.54
2010;Bali;70.1
2010;Nusa Tenggara Barat;61.16
2010;Nusa Tenggara Timur;59.21
2010;Kalimantan Barat;61.97
2010;Kalimantan Tengah;65.96
2010;Kalimantan Selatan;65.2
2010;Kalimantan Timur;71.31
2010;Kalimantan Utara;0
2010;Sulawesi Utara;67.83
2010;Gorontalo;63.29
2010;Sulawesi Tengah;66
2010;Sulawesi Selatan;65.99
2010;Sulawesi Barat;62.65
2010;Sulawesi Tenggara;59.74
2010;Maluku;64.27
2010;Maluku Utara;62.79
2010;Papua;59.6
2010;Papua Barat;54.45
2011;Aceh;67.45
2011;Sumatera Utara;67.34
2011;Sumatera Barat;67.81
2011;Riau;68.9
2011;Kepulauan Riau;66.14
2011;Jambi;65.12
2011;Sumatera Selatan;65.96
2011;Kepulauan Bangka Belitung;64.2
2011;Bengkulu;66.59
2011;Lampung;71.61
2011;DKI Jakarta;76.98
2011;Jawa Barat;66.67
2011;Banten;66.64
2011;Jawa Tengah;75.93
2011;DI Yogyakarta;66.06
2011;Jawa Timur;68.22
2011;Bali;70.87
2011;Nusa Tenggara Barat;62.14
2011;Nusa Tenggara Timur;60.24
2011;Kalimantan Barat;62.35
2011;Kalimantan Tengah;66.38
2011;Kalimantan Selatan;65.89
2011;Kalimantan Timur;72.02
2011;Kalimantan Utara;0
2011;Sulawesi Utara;68.31
2011;Gorontalo;64.27
2011;Sulawesi Tengah;66.65
2011;Sulawesi Selatan;66.52
2011;Sulawesi Barat;63.48
2011;Sulawesi Tenggara;60.63
2011;Maluku;64.75
2011;Maluku Utara;63.19
2011;Papua;59.9
2011;Papua Barat;55.01
2012;Aceh;67.81
2012;Sumatera Utara;67.74
2012;Sumatera Barat;68.36
2012;Riau;69.15
2012;Kepulauan Riau;66.94
2012;Jambi;65.79
2012;Sumatera Selatan;66.61
2012;Kepulauan Bangka Belitung;64.87
2012;Bengkulu;67.21
2012;Lampung;72.36
2012;DKI Jakarta;77.53
2012;Jawa Barat;67.32
2012;Banten;67.21
2012;Jawa Tengah;76.15
2012;DI Yogyakarta;66.74
2012;Jawa Timur;68.92
2012;Bali;71.62
2012;Nusa Tenggara Barat;62.98
2012;Nusa Tenggara Timur;60.81
2012;Kalimantan Barat;63.41
2012;Kalimantan Tengah;66.66
2012;Kalimantan Selatan;66.68
2012;Kalimantan Timur;72.62
2012;Kalimantan Utara;0
2012;Sulawesi Utara;69.04
2012;Gorontalo;65
2012;Sulawesi Tengah;67.26
2012;Sulawesi Selatan;67.07
2012;Sulawesi Barat;64.16
2012;Sulawesi Tenggara;61.01
2012;Maluku;65.43
2012;Maluku Utara;63.93
2012;Papua;60.3
2012;Papua Barat;55.55
2013;Aceh;68.3
2013;Sumatera Utara;68.36
2013;Sumatera Barat;68.91
2013;Riau;69.91
2013;Kepulauan Riau;67.76
2013;Jambi;66.16
2013;Sumatera Selatan;67.5
2013;Kepulauan Bangka Belitung;65.73
2013;Bengkulu;67.92
2013;Lampung;73.02
2013;DKI Jakarta;78.08
2013;Jawa Barat;68.25
2013;Banten;68.02
2013;Jawa Tengah;76.44
2013;DI Yogyakarta;67.55
2013;Jawa Timur;69.47
2013;Bali;72.09
2013;Nusa Tenggara Barat;63.76
2013;Nusa Tenggara Timur;61.68
2013;Kalimantan Barat;64.3
2013;Kalimantan Tengah;67.41
2013;Kalimantan Selatan;67.17
2013;Kalimantan Timur;73.21
2013;Kalimantan Utara;67.99
2013;Sulawesi Utara;69.49
2013;Gorontalo;65.79
2013;Sulawesi Tengah;67.92
2013;Sulawesi Selatan;67.55
2013;Sulawesi Barat;64.7
2013;Sulawesi Tenggara;61.53
2013;Maluku;66.09
2013;Maluku Utara;64.78
2013;Papua;60.91
2013;Papua Barat;56.25
2014;Aceh;68.81
2014;Sumatera Utara;68.87
2014;Sumatera Barat;69.36
2014;Riau;70.33
2014;Kepulauan Riau;68.24
2014;Jambi;66.75
2014;Sumatera Selatan;68.06
2014;Kepulauan Bangka Belitung;66.42
2014;Bengkulu;68.27
2014;Lampung;73.4
2014;DKI Jakarta;78.39
2014;Jawa Barat;68.8
2014;Banten;68.78
2014;Jawa Tengah;76.81
2014;DI Yogyakarta;68.14
2014;Jawa Timur;69.89
2014;Bali;72.48
2014;Nusa Tenggara Barat;64.31
2014;Nusa Tenggara Timur;62.26
2014;Kalimantan Barat;64.89
2014;Kalimantan Tengah;67.77
2014;Kalimantan Selatan;67.63
2014;Kalimantan Timur;73.82
2014;Kalimantan Utara;68.64
2014;Sulawesi Utara;69.96
2014;Gorontalo;66.43
2014;Sulawesi Tengah;68.49
2014;Sulawesi Selatan;68.07
2014;Sulawesi Barat;65.17
2014;Sulawesi Tenggara;62.24
2014;Maluku;66.74
2014;Maluku Utara;65.18
2014;Papua;61.28
2014;Papua Barat;56.75
