tglsj,barang,code_wr,qttsj,Price
2/3/2017,Bordir Rayon 150 gr,1050,18,25000
2/3/2017,Bordir Rayon 150 gr,1179,24,25000
2/3/2017,Bordir Rayon 150 gr,1180,24,25000
2/3/2017,Bordir Rayon 150 gr,1188,30,25000
2/3/2017,Bordir Rayon 150 gr,1191,6,25000
2/3/2017,Bordir Rayon 150 gr,1202,12,25000
2/3/2017,Jahit 40/2 5000 yds,499,24,10000
2/3/2017,Jahit 40/2 5000 yds,500,48,10000
2/3/2017,Obras 180 gr Warna,373,1,10500
2/3/2017,Obras 180 gr Warna,373,4,10500
2/3/2017,Obras 500 gr Warna,373,1,24500
2/4/2017,Bordir Rayon 150 gr,1005,1,25000
2/7/2017,Jahit 40/2 5000 yds,499,120,10000
2/7/2017,Jahit 40/2 5000 yds,499,4,10000
2/7/2017,Jahit 40/2 5000 yds,499,1,10000
2/7/2017,Jahit 40/2 5000 yds,500,6,10000
2/7/2017,Jahit 40/2 5000 yds,500,6,10000
2/7/2017,Jahit 40/2 5000 yds,530,6,10000
2/7/2017,Obras 180 gr Nat,498,8,9500
2/7/2017,Obras 180 gr Warna,347,4,10500
2/7/2017,Obras 180 gr Warna,500,4,10500
2/8/2017,Bordir Rayon 150 gr,1026,1,25000
2/8/2017,Bordir Rayon 150 gr,1050,1,25000
2/8/2017,Bordir Rayon 150 gr,1101,1,25000
2/8/2017,Bordir Rayon 150 gr,1123,3,25000
2/8/2017,Bordir Rayon 150 gr,1140,3,25000
2/8/2017,Bordir Rayon 150 gr,1180,1,25000
2/8/2017,Bordir Rayon 150 gr,1187,3,25000
2/8/2017,Bordir Rayon 150 gr,1191,1,25000
2/8/2017,Bordir Rayon 150 gr,1204,3,25000
2/8/2017,Bordir Rayon 150 gr,2220,1,25000
2/8/2017,Jahit 40/2 5000 yds,195,2,10000
2/8/2017,Jahit 40/2 5000 yds,196,2,10000
2/8/2017,Jahit 40/2 5000 yds,364,2,10000
2/8/2017,Jahit 40/2 5000 yds,373,2,10000
2/8/2017,Jahit 40/2 5000 yds,454,12,10000
2/8/2017,Jahit 40/2 5000 yds,498,1,10000
2/8/2017,Jahit 40/2 5000 yds,500,2,10000
2/8/2017,Obras 180 gr Warna,185,1,10500
2/8/2017,Obras 180 gr Warna,292,3,10500
2/8/2017,Obras 180 gr Warna,370,1,10500
2/8/2017,Obras 180 gr Warna,500,3,10500
2/8/2017,Obras 180 gr Warna,550,3,10500
2/8/2017,Obras 500 gr Warna,137,2,24500
2/8/2017,Obras 500 gr Warna,185,2,24500
2/8/2017,Obras 500 gr Warna,347,3,24500
2/8/2017,Obras 500 gr Warna,370,2,24500
2/8/2017,Obras 500 gr Warna,454,3,24500
2/8/2017,Obras 500 gr Warna,530,2,24500
2/9/2017,Bordir Rayon 150 gr,1188,6,25000
2/9/2017,Jahit 40/2 5000 yds,330,12,10000
2/9/2017,Jahit 40/2 5000 yds,498,12,10000
2/9/2017,Jahit 40/2 5000 yds,500,6,10000
2/9/2017,Jahit 40/2 5000 yds,500,2,10000
2/9/2017,Jahit 40/2 5000 yds,500,9,10000
2/9/2017,Obras 180 gr Nat,498,2,9500
2/9/2017,Obras 180 gr Warna,254,2,10500
2/9/2017,Obras 180 gr Warna,330,2,10500
2/9/2017,Obras 180 gr Warna,499,3,10500
2/9/2017,Obras 180 gr Warna,500,8,10500
2/9/2017,Obras 180 gr Warna,500,2,10500
2/9/2017,Obras 180 gr Warna,500,2,10500
2/10/2017,Bordir Polyester 150 gr,3022,12,15000
2/10/2017,Bordir Polyester 150 gr,3045,24,15000
2/10/2017,Bordir Polyester 150 gr,3149,24,15000
2/10/2017,Bordir Polyester 150 gr,3150,24,15000
2/10/2017,Bordir Polyester 150 gr,3156,12,15000
2/10/2017,Bordir Rayon 150 gr,1129,1,25000
2/10/2017,Bordir Rayon 150 gr,1164,6,25000
2/10/2017,Bordir Rayon 150 gr,1167,24,25000
2/10/2017,Bordir Rayon 150 gr,1179,36,25000
2/10/2017,Bordir Rayon 150 gr,1179,48,25000
2/10/2017,Bordir Rayon 150 gr,1180,30,25000
2/10/2017,Bordir Rayon 150 gr,1212,24,25000
2/10/2017,Bordir Rayon 150 gr,1322,24,25000
2/10/2017,Bordir Rayon 150 gr,1330,6,25000
2/10/2017,Jahit 40/2 5000 yds,500,2,10000
2/10/2017,Jahit 40/2 5000 yds,550,6,10000
2/10/2017,Jahit 40/2p 500 yds,499,1,18500
2/10/2017,Jahit 40/2p 500 yds,500,1,18500
2/10/2017,Obras 180 gr Warna,196,4,10500
2/10/2017,Obras 180 gr Warna,500,1,10500
