Date,Cumulative_cases,Recovered_cases,Total_death,Patient_under_treatment,New_case_perDay,Recovered-cases_perDay,Death_cases_perDay,Treatment_cases_perDay
3/2/2020,2,0,0,2,2,0,0,2
3/3/2020,2,0,0,2,2,0,0,2
3/4/2020,2,0,0,2,2,0,0,2
3/5/2020,2,0,0,2,2,0,0,2
3/6/2020,4,0,0,4,2,0,0,2
3/7/2020,4,0,0,4,2,0,0,2
3/8/2020,6,0,0,6,2,0,0,2
3/9/2020,19,0,0,19,13,0,0,13
3/10/2020,27,2,0,25,8,2,0,6
3/11/2020,34,2,1,31,7,2,1,6
3/12/2020,34,2,1,31,7,2,1,6
3/13/2020,69,2,4,63,35,2,3,32
3/14/2020,96,8,5,83,27,6,1,20
3/15/2020,117,8,5,104,21,6,1,21
3/16/2020,134,8,5,121,17,6,1,17
3/17/2020,172,9,5,158,38,1,1,37
3/18/2020,227,11,19,197,55,2,14,39
3/19/2020,309,15,25,269,82,4,6,72
3/20/2020,369,17,32,320,60,2,7,51
3/21/2020,450,20,38,392,81,3,6,72
3/22/2020,514,29,48,437,64,9,10,45
3/23/2020,579,30,49,500,65,1,1,63
3/24/2020,686,30,55,601,106,1,6,101
3/25/2020,790,31,58,701,105,1,3,100
3/26/2020,893,35,78,780,103,4,20,79
3/27/2020,1046,46,87,913,153,11,9,133
3/28/2020,1155,59,102,994,109,13,15,81
3/29/2020,1285,64,114,1107,130,5,12,113
3/30/2020,1414,75,122,1217,129,11,8,110
3/31/2020,1528,81,136,1311,114,6,14,94
4/1/2020,1677,103,157,1417,149,22,21,106
4/2/2020,1790,112,170,1508,113,9,13,91
4/3/2020,1986,134,181,1671,196,22,11,163
4/4/2020,2092,150,191,1751,106,16,10,80
4/5/2020,2273,164,198,1911,181,14,7,160
4/6/2020,2491,192,209,2090,218,28,11,179
4/7/2020,2738,204,221,2313,247,12,12,223
4/8/2020,2956,222,240,2494,218,18,19,181
4/9/2020,3293,252,280,2761,337,30,40,267
4/10/2020,3512,282,306,2924,219,30,26,163
4/11/2020,3842,286,327,3229,330,4,21,305
4/12/2020,4241,359,373,3509,399,73,46,280
4/13/2020,4557,380,399,3778,316,21,26,269
4/14/2020,4839,426,459,3954,282,46,60,176
4/15/2020,5136,446,469,4221,297,20,10,267
4/16/2020,5516,548,496,4472,380,102,27,251
4/17/2020,5923,607,520,4796,407,59,24,324
4/18/2020,6248,631,535,5082,325,24,15,286
4/19/2020,6575,686,582,5307,327,55,47,225
4/20/2020,6760,747,590,5423,185,61,8,116
4/21/2020,7135,842,616,5677,375,95,26,254
4/22/2020,7418,913,635,5870,283,71,19,193
4/23/2020,7775,960,647,6168,357,47,12,298
4/24/2020,8211,1002,689,6520,436,42,42,352
4/25/2020,8607,1042,720,6845,396,40,31,325
4/26/2020,8882,1107,743,7032,275,65,23,187
4/27/2020,9096,1151,765,7180,214,44,22,148
4/28/2020,9511,1254,773,7484,415,103,8,304
4/29/2020,9771,1391,784,7596,260,137,11,112
4/30/2020,10118,1522,792,7804,347,131,8,208
5/1/2020,10551,1591,800,8160,433,69,8,356
5/2/2020,10843,1665,831,8347,292,74,31,187
5/3/2020,11192,1876,845,8471,349,211,14,124
5/4/2020,11587,1954,864,8769,395,78,19,298
5/5/2020,12071,2197,872,9002,484,243,8,233
5/6/2020,12438,2317,895,9226,367,120,23,224
5/7/2020,12776,2381,930,9465,338,64,35,239
5/8/2020,13112,2494,943,9675,336,113,13,210
5/9/2020,13645,2607,959,10079,533,113,16,404
5/10/2020,14032,2698,973,10361,387,91,14,282
5/11/2020,14265,2881,991,10393,233,183,18,32
5/12/2020,14749,3063,1007,10679,484,182,16,286
5/13/2020,15438,3287,1028,11123,689,224,21,444
5/14/2020,16006,3518,1043,11445,568,231,15,322
5/15/2020,16496,3803,1076,11617,490,285,33,172
5/16/2020,17025,3911,1089,12025,529,108,13,408
5/17/2020,17514,4129,1148,12237,489,218,59,212
5/18/2020,18010,4324,1191,12495,496,195,43,258
5/19/2020,18496,4467,1221,12808,486,143,30,313
5/20/2020,19189,4575,1242,13372,693,108,21,564
5/21/2020,20162,4838,1278,14046,973,263,36,674
5/22/2020,20796,5057,1326,14413,634,219,48,367
5/23/2020,21745,5249,1351,15145,949,192,25,732
5/24/2020,22271,5402,1372,15497,526,153,21,352
5/25/2020,22750,5642,1391,15717,479,240,19,220
5/26/2020,23165,5877,1418,15870,415,235,27,153
5/27/2020,23851,6057,1473,16321,686,180,55,451
5/28/2020,24538,6240,1496,16802,687,183,23,481
5/29/2020,25216,6492,1520,17204,678,252,24,402
5/30/2020,25773,7015,1573,17185,557,523,53,-19
5/31/2020,26473,7308,1613,17552,700,293,40,367
6/1/2020,26940,7637,1641,17662,467,329,28,110
6/2/2020,27549,7935,1663,17951,609,298,22,289
6/3/2020,28233,8406,1698,18129,684,471,35,178
6/4/2020,28818,8892,1721,18205,585,486,23,76
